example_id                                                        | status | run_time        |
----------------------------------------------------------------- | ------ | --------------- |
./spec/controllers/payroll_calculator_controller_spec.rb[1:1:1]   | passed | 0.00151 seconds |
./spec/controllers/payroll_calculator_controller_spec.rb[1:1:2]   | passed | 0.09101 seconds |
./spec/controllers/payroll_calculator_controller_spec.rb[1:1:3]   | passed | 0.00086 seconds |
./spec/controllers/payroll_calculator_controller_spec.rb[1:2:1:1] | passed | 0.00155 seconds |
./spec/controllers/payroll_calculator_controller_spec.rb[1:2:1:2] | passed | 0.0023 seconds  |
./spec/controllers/payroll_calculator_controller_spec.rb[1:2:2:1] | passed | 0.00123 seconds |
./spec/controllers/payroll_calculator_controller_spec.rb[1:2:3:1] | passed | 0.00096 seconds |
./spec/controllers/payroll_calculator_controller_spec.rb[1:2:4:1] | passed | 0.00127 seconds |
./spec/helpers/payroll_calculator_helper_spec.rb[1:1:1]           | passed | 0.00125 seconds |
./spec/models/payroll_calculator_spec.rb[1:1:1:1]                 | passed | 0.00016 seconds |
./spec/models/payroll_calculator_spec.rb[1:1:2:1]                 | passed | 0.00017 seconds |
./spec/models/payroll_calculator_spec.rb[1:1:3:1]                 | passed | 0.00016 seconds |
./spec/models/payroll_calculator_spec.rb[1:1:4:1]                 | passed | 0.00017 seconds |
./spec/models/payroll_calculator_spec.rb[1:2:1:1]                 | passed | 0.00496 seconds |
./spec/models/payroll_calculator_spec.rb[1:2:2:1]                 | passed | 0.00067 seconds |
./spec/models/payroll_calculator_spec.rb[1:2:3:1]                 | passed | 0.00022 seconds |
./spec/models/payroll_calculator_spec.rb[1:2:4:1]                 | passed | 0.0002 seconds  |
./spec/models/payroll_calculator_spec.rb[1:3:1:1]                 | passed | 0.00016 seconds |
./spec/models/payroll_calculator_spec.rb[1:3:2:1]                 | passed | 0.00016 seconds |
./spec/models/payroll_calculator_spec.rb[1:3:3:1]                 | passed | 0.00016 seconds |
./spec/models/payroll_calculator_spec.rb[1:3:4:1]                 | passed | 0.00017 seconds |
./spec/system/payroll_calculation_spec.rb[1:1:1]                  | passed | 0.0139 seconds  |
./spec/system/payroll_calculation_spec.rb[1:2:1]                  | passed | 0.00608 seconds |
./spec/system/payroll_calculation_spec.rb[1:2:2]                  | passed | 0.00581 seconds |
./spec/system/payroll_calculation_spec.rb[1:3:1]                  | passed | 0.00526 seconds |
./spec/system/payroll_calculation_spec.rb[1:3:2]                  | passed | 0.00562 seconds |
./spec/system/payroll_calculation_spec.rb[1:4:1]                  | passed | 0.00761 seconds |
./spec/system/payroll_calculation_spec.rb[1:4:2]                  | passed | 0.00668 seconds |
